teacher_name,teacher_category,student_type,mismatch_level,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,compression_ratio,training_time,seed
StandardMLP,MLP,MLP,0,1.0,0.1,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8618077592384072,0.9137835408253795,0.011669679506064954,0.009253089805731864,0.9532297253608704,36078,7.463329452852154,13.089293956756592,42
StandardMLP,MLP,MLP,0,1.0,0.2,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8593510082915344,0.9130990570908475,0.021872293372239168,0.0143344583719502,0.9121422171592712,36078,7.463329452852154,10.367791175842285,42
StandardMLP,MLP,MLP,0,1.0,0.3,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8623195823523391,0.9104367250273662,0.02486954958134535,0.014076385007554771,0.8953468203544617,36078,7.463329452852154,17.222963571548462,42
StandardMLP,MLP,MLP,0,1.0,0.4,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8622172177295526,0.9118012605045402,0.03893542331795462,0.018799112870799613,0.8267908096313477,36078,7.463329452852154,12.546179056167603,42
StandardMLP,MLP,MLP,0,1.0,0.5,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8590439144231754,0.9086391206283436,0.04354816826806121,0.023491730729905645,0.8323937058448792,36078,7.463329452852154,18.53843903541565,42
StandardMLP,MLP,MLP,0,1.0,0.6,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8516736615825571,0.9043930709432972,0.055992558449033905,0.029467723765640722,0.8019733428955078,36078,7.463329452852154,29.170170783996582,42
StandardMLP,MLP,MLP,0,1.0,0.7,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8504452861091207,0.9039054654978641,0.06943502280911093,0.048786053185572664,0.7656660079956055,36078,7.463329452852154,13.380404233932495,42
StandardMLP,MLP,MLP,0,1.0,0.8,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8151294912478247,0.9006731044514581,0.08852584121299018,0.05483069059664279,0.8173308968544006,36078,7.463329452852154,10.816634893417358,42
StandardMLP,MLP,MLP,0,1.0,0.9,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8142082096427474,0.8932719082280678,0.08817466823480452,0.06511103434413625,0.8290013670921326,36078,7.463329452852154,13.58039665222168,42
StandardMLP,MLP,MLP,0,1.0,1.0,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8134916572832429,0.845456730578292,0.030269293589880703,0.010562367142024728,0.8403587937355042,36078,7.463329452852154,16.02998638153076,42
StandardMLP,MLP,MLP,0,1.292,0.1,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8621148531067663,0.9121935493451645,0.008771751350927694,0.009431659196047666,0.9840652942657471,36078,7.463329452852154,17.685019731521606,42
StandardMLP,MLP,MLP,0,1.292,0.2,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8629337700890573,0.9121038158989708,0.019910636953326937,0.01281406485136876,0.910796046257019,36078,7.463329452852154,15.784267902374268,42
StandardMLP,MLP,MLP,0,1.292,0.3,0.8128774695465247,0.8416043511339395,0.03264136696996068,269262,0.8591462790459617,0.909893748462473,0.028627786595076518,0.018467425188258082,0.8936032056808472,36078,7.463329452852154,12.76253366470337,42
